S.No.,Passage,Summary,Question,Language
1.0,المسألة الشرقية (بالإنجليزية: Eastern Question) (بالفرنسية: Question de l'orient) : هي مسألة وجود العثمانيين المسلمين في أوروبا وطردهم منها واستعادة القسطنطينية من العثمانيين بعد سقوطها في 1453 وتهديد مصالح الدول الأوروبية في هذه المنطقة. كما يدل المصطلح على تصفية أملاك رجل أوروبا المريض في البلقان من طرف الدول الأوروبية.,,ما هي المسألة الشرقية ؟,Arabic
2.0,"وحسب الرئيس الامريكي السابق جورج دبليو بوش ورئيس الوزراء البريطاني توني بلير مهمة التحالف \""تجريد العراق من اسلحة الدمار الشامل, ووضع حد للدعم الذي يقدمه صدام حسين إلى الارهاب وتحرير الشعب العراقى\"".",,من رئيس الولايات المتحدة الأميريكية الذي غزى العراق؟,Arabic
3.0,معركة المنصورة، معركة دارت رحاها في مصر من 8 إلى 11 فبراير من سنة 1250 بين القوات الصليبية (الفرنج) بقيادة لويس التاسع ملك فرنسا، الذي عُرف بالقديس لويس فيما بعد، والقوات الأيوبية بقيادة الأمير فخر الدين يوسف بن شيخ الشيوخ. وفارس الدين أقطاي الجمدار وركن الدين بيبرس البندقداري.,وقعت معركة المنصورة في مصر عام 1250 بين القوات الصليبية بقيادة لويس التاسع ملك فرنسا والقوات الأيوبية بقيادة الأمير فخر الدين يوسف بن شيخ الشيوخ.,أين وقعت معركة المنصورة؟,Arabic
4.0,نهر سان لوران أو سانت لورنس أو و بلغة الهنود الحمر القاطنين في المنطقة Magtogoek (« نهر المياه الكبرى ») هو نهر يقع في أمريكا الشمالية. ينبع من بحيرة أونتاريو ويصب في المحيط الأطلسي. تمت تسميته على شرف لورانت دي روما و هو أحد أهم أنهار أمريكا الشمالية و ثاني أطول نهر في كندا لا يفوقه طولا سوى نهر ماكينزي .,نهر سانت لورانس يقع في أمريكا الشمالية، ينبع من بحيرة أونتاريو ويصب في المحيط الأطلسي.,أين يقع نهر سانت لورانس؟,Arabic
5.0,تأسست AED في عام 1961 من قبل ألفين سي إيرك وسيدني تاكتون. تركز أصلا على تقديم المساعدة التقنية ذات الصلة لإدارة التعليم العالي في الولايات المتحدة، وسعت AED في تكنولوجيا التعليم، وإصلاح التعليم، ودعم المجتمع المدني في الولايات المتحدة وحول العالم. كما تركز AED على تعزيز الصحة في البلدان النامية عن طريق الاتصال البيئي، والتسويق الاجتماعي وغيرها من التخصصات. تعمل AED حاليا في جميع أنحاء الولايات المتحدة وفي 167 دولة. AED تعمل حاليا على أكثر من 250 برنامج لمساعدة الناس على تحسين حياتهم من خلال تحسين التعليم والصحة والفرص الاقتصادية.,أنشأت أكاديمية التنمية التعليمية (AED) في عام 1961 من قبل ألفين سي إيرك وسيدني تاكتون.,متى تأسست أكاديمية التنمية التعليمية؟,Arabic
,,,,
1.0,"आठवीं सदी में सिन्ध पर अरबों का अधिकार हो गया। यह इस्लाम का प्रवेश माना जाता है। बारहवीं सदी के अन्त तक दिल्ली की गद्दी पर तुर्क दासों का शासन आ गया जिन्होंने अगले कई सालों तक राज किया। दक्षिण में हिन्दू विजयनगर और गोलकुण्डा के राज्य थे। 1556 में विजय नगर का पतन हो गया। सन् 1526 में मध्य एशिया से निर्वासित राजकुमार बाबर ने काबुल में पनाह ली और भारत पर आक्रमण किया। उसने मुग़ल वंश की स्थापना की जो अगले 300 वर्षों तक चला। इसी समय दक्षिण-पूर्वी तट से पुर्तगाल का समुद्री व्यापार शुरु हो गया था। बाबर का पोता अकबर धार्मिक सहिष्णुता के लिए विख्यात हुआ। उसने हिन्दुओं पर से जज़िया कर हटा लिया। 1659 में औरंगज़ेब ने इसे फिर से लागू कर दिया। औरंगज़ेब ने कश्मीर में तथा अन्य स्थानों पर हिन्दुओं को बलात मुसलमान बनवाया। उसी समय केन्द्रीय और दक्षिण भारत में शिवाजी के नेतृत्व में मराठे शक्तिशाली हो रहे थे। औरंगज़ेब ने दक्षिण की ओर ध्यान लगाया तो उत्तर में सिखों का उदय हो गया। औरंगज़ेब के मरते ही (1707) मुगल साम्राज्य बिखर गया। अंग्रेज़ों ने डचों, पुर्तगालियों तथा फ्रांसिसियों को भगाकर भारत पर व्यापार का अधिकार सुनिश्चित किया और 1857 के एक विद्रोह को कुचलने के बाद सत्ता पर काबिज हो गए। भारत को आज़ादी 1947 में मिली जिसमें महात्मा गांधी के अहिंसा आधारित आन्दोलन का योगदान महत्वपूर्ण था। 1947 के बाद से भारत में गणतान्त्रिक शासन लागू है। आज़ादी के समय ही भारत का विभाजन हुआ जिससे पाकिस्तान का जन्म हुआ और दोनों देशों में कश्मीर सहित अन्य मुद्दों पर तनाव बना हुआ है।",,भारत किस वर्ष में आज़ाद हुआ था ?,Hindi
2.0,"देवदास गांधी (१९०० - १९५७) महात्मा गांधी के चौथे एवं सबसे छोटे पुत्र थे। श्री देवदास गांधी का जन्म दक्षिण अफ्रीका में हुआ था एवं वे अपने परिवार के साथ एक युवा के रूप में भारत वापस आए। अपने पिता द्वारा किए जानेवाले कार्यों में उनकी सक्रिय भागीदारी थी एव उन्हें अंग्रेजी सरकार द्वारा कई बार कारावास की सजा भी हुई। श्री गांधी एक प्रमुख पत्रकार के रूप में जाने जाते थे एवं वे भारत से निकलने वाली अंग्रेजी अखबार हिंदुस्तान टाईम्स के संपादक पद पर भी कई वर्षों तक रहे। श्री गांधी का प्रेम विवाह १९३३ में गांधी जी के सहयोगी एवं प्रमुख स्वतंत्रता सेनानी राजाजी (चक्रवर्ती राजगोपालाचारी) की सुपुत्री लक्षमी से हुआ। उनकी चार संताने (तीन पुत्र एवं एक पुत्री) हुईं - राजमोहन, गोपालकृष्ण, रामचंद्र एवं तारा।",महात्मा गांधी के चार पुत्र थे। उनमें से देवदास गांधी सबसे छोटे थे। वे एक पत्रकार और स्वतंत्रता सेनानी थे। उन्होंने हिंदुस्तान टाइम्स के संपादक के रूप में भी काम किया। उनका प्रेम विवाह राजाजी की बेटी लक्ष्मी से हुआ था। उनकी चार संताने थीं।,महात्मा गांधी के कितने पुत्र थे ?,Hindi
3.0,"पेंगुइन में तापरोधी पंखों की मोटी परत होती है जो उन्हें पानी में गरम रखती है (हवा की तुलना में पानी में गर्मी तेज़ी से कम होती है). एम्परर पेंगुइन (सबसे बड़े पेंगुइन) सभी पेंगुइन में सबसे विशालकाय होते हैं, जो कि सापेक्ष सतह क्षेत्र और गर्मी में कमी को और घटाता है। वे अपने हाथ पैरों का रक्त प्रवाह नियंत्रित करने में भी सक्षम हैं, जिससे ठंडा होने वाले रक्त की मात्रा कम हो जाती है, लेकिन फिर भी हाथ व पैर ठंड में जमने से बच जाते हैं। अंटार्कटिक सर्दियों की अत्याधिक ठंड में, नरों को मौसम का स्वयं मुकाबला करने के लिए छोड़ कर, मादाएं समुद्र में भोजन तलाशती हैं। वे अक्सर गर्म होने के लिए झुण्ड में इकट्ठे होते हैं और यह सुनिश्चित करने के लिए जगह बदलते रहते हैं कि प्रत्येक पेंगुइन को गर्माहट की बीच वाली जगह मिले.","पेंगुइन्स ठंडी जगह पर इसलिए रहते हैं क्योंकि वे अपने शरीर को गर्म रखने के लिए कई तरह के अनुकूलन विकसित कर चुके हैं। जैसे, वे मोटे तापरोधी पंखों से ढके होते हैं, वे अपने हाथ-पैर का रक्त प्रवाह नियंत्रित कर सकते हैं, और वे झुंड में रहकर गर्म रह सकते हैं।",पेंगुइन्स ठंडी जगह पर क्यों रहते है ?,Hindi
4.0,"बिल गेट्स (विलियम हेनरी गेट्स III; अंग्रेजी:Bill Gates) माइक्रोसॉफ्ट नामक कम्पनी के सह संस्थापक तथा अध्यक्ष है। इनका जन्म 28 अक्टूबर, 1955 को वाशिंगटन के एक उच्च-मध्यम वर्गीय परिवार में हुआ। इनके पिता का नाम विलियम एच. गेट्स तथा माता का नाम मेरी मैक्सवैल था। पिता एक प्रतिष्ठित वकील तथा माता एक बैंक के व्यवस्थापक मंडल की सदस्य थीं।","बिल गेट्स का जन्म 28 अक्टूबर, 1955 को वाशिंगटन के एक उच्च-मध्यम वर्गीय परिवार में हुआ था।",बिल गेट्स का जन्म कोनसे वर्ष में हुआ?,Hindi
